"Story","Title","Result","Date","Stability","Duration (s)"
"Categories test","This will read category- By category ID ","SUCCESS","2020-12-23T22:20:09.639Z[Europe/London]","0.0","3.17"
"Categories test","This will get all categories","SUCCESS","2020-12-23T22:20:12.967Z[Europe/London]","0.0","0.16"
"Categories test","This will delete and verify if category is deleted","SUCCESS","2020-12-23T22:20:13.143Z[Europe/London]","0.0","0.25"
"Categories test","This will update category","FAILURE","2020-12-23T22:20:13.392Z[Europe/London]","0.0","0.28"
"Categories test","This will create category ","SUCCESS","2020-12-23T22:20:13.689Z[Europe/London]","0.0","0.4"
"Product test","This will read product- By product ID ","SUCCESS","2020-12-23T22:20:15.929Z[Europe/London]","0.0","1.11"
"Product test","This will get all products","SUCCESS","2020-12-23T22:20:17.039Z[Europe/London]","0.0","0.22"
"Product test","This will delete and verify if product is deleted","SUCCESS","2020-12-23T22:20:17.257Z[Europe/London]","0.0","0.31"
"Product test","This will update product","SUCCESS","2020-12-23T22:20:17.569Z[Europe/London]","0.0","0.09"
"Product test","This will create product ","SUCCESS","2020-12-23T22:20:17.662Z[Europe/London]","0.0","0.11"
"Services test","This will read services- By name ","SUCCESS","2020-12-23T22:20:17.828Z[Europe/London]","0.0","0.13"
"Services test","This will get all services","SUCCESS","2020-12-23T22:20:17.959Z[Europe/London]","0.0","0.11"
"Services test","This will delete and verify if services is deleted","ERROR","2020-12-23T22:20:18.065Z[Europe/London]","0.0","0.12"
"Services test","This will update services","ERROR","2020-12-23T22:20:18.183Z[Europe/London]","0.0","0.11"
"Services test","This will create a record","SUCCESS","2020-12-23T22:20:18.292Z[Europe/London]","0.0","0.1"
"Stores test","This will read Store by Name ","SUCCESS","2020-12-23T22:20:18.439Z[Europe/London]","0.0","0.17"
"Stores test","This will get all stores","SUCCESS","2020-12-23T22:20:18.611Z[Europe/London]","0.0","0.14"
"Stores test","This will delete and verify if store is deleted","SUCCESS","2020-12-23T22:20:18.751Z[Europe/London]","0.0","0.14"
"Stores test","This will create stores ","SUCCESS","2020-12-23T22:20:18.892Z[Europe/London]","0.0","0.11"
